ID,X273C1,X273C2,X273sh18.2,X273sh18.1,X273sh53.2,X273sh53.1,X379C1,X379C2,X379sh18.2,X379sh18.1
ENSG00000177133,2,3,0,1,0,11,0,0,0,0
ENSG00000142611,17,12,1,6,7,31,2,1,0,1
ENSG00000283572,0,0,1,0,0,0,0,0,0,0
ENSG00000226286,0,0,0,0,0,0,0,0,0,0
ENSG00000279839,9,0,0,0,3,4,0,0,0,2
ENSG00000272235,0,0,0,3,0,1,0,0,0,0
ENSG00000130762,38,55,26,57,26,46,1,1,1,4
ENSG00000272088,0,0,0,0,0,0,0,0,0,0
ENSG00000162591,8,36,6,12,15,9,1,1,9,4
ENSG00000207776,0,0,0,0,0,0,0,0,0,0
ENSG00000238260,16,19,6,3,6,13,4,1,2,1
ENSG00000158109,575,641,647,685,590,1022,164,203,515,655
ENSG00000116213,1365,1548,935,1134,1107,1607,339,457,427,401
ENSG00000078900,250,278,207,205,278,269,242,294,174,195
ENSG00000227589,7,3,2,5,1,7,0,3,2,0
ENSG00000235131,0,0,3,0,1,1,2,2,1,0
ENSG00000227372,2492,3074,1786,2117,1760,2761,684,842,876,1040
ENSG00000276189,0,0,0,0,0,0,0,0,0,0
ENSG00000162592,9,7,8,12,8,21,4,3,3,4
ENSG00000235169,11,13,10,19,3,16,5,3,1,0
ENSG00000130764,3210,3395,2146,2868,2188,3505,663,983,849,1080
ENSG00000266075,8,7,6,7,2,11,2,0,0,1
ENSG00000272153,84,96,47,81,44,91,18,22,37,29
ENSG00000116198,1441,1612,1075,1273,1162,1905,324,474,476,625
ENSG00000169598,464,499,329,460,270,484,87,121,137,139
ENSG00000198912,1601,1702,1054,1359,1252,2103,238,329,271,358
ENSG00000236423,51,39,30,49,24,55,5,5,3,5
ENSG00000233304,4,2,0,2,0,1,0,0,0,0
ENSG00000226374,1,0,0,1,0,0,0,0,0,0
ENSG00000229280,0,0,1,0,0,1,0,1,0,0
ENSG00000235054,0,0,0,0,0,0,0,0,0,0
ENSG00000227169,0,0,0,0,0,0,0,0,0,0
ENSG00000232596,2,0,0,1,0,1,1,0,0,1
ENSG00000196581,5,0,0,0,0,2,1,1,0,0
ENSG00000231510,2,0,1,0,0,3,1,0,0,1
ENSG00000260972,0,0,1,0,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,0,1,0,0,1
ENSG00000264341,4,0,0,0,0,0,0,0,0,0
ENSG00000264101,2,0,0,0,1,0,0,0,0,0
ENSG00000131697,740,829,535,508,689,900,210,271,184,187
ENSG00000069424,606,745,339,548,443,845,98,123,137,133
ENSG00000116254,112,64,37,105,68,167,81,116,29,111
ENSG00000116251,10296,13692,9434,9602,8808,13101,2272,3019,2515,3603
ENSG00000226944,9,9,9,9,7,2,1,0,3,2
ENSG00000158286,239,301,281,329,230,273,31,43,60,59
ENSG00000116237,4526,4714,3367,4461,4090,7197,1860,2520,2250,2836
ENSG00000225077,12,7,5,14,1,20,1,2,4,6
ENSG00000173673,3,0,1,1,0,4,0,0,1,0
ENSG00000158292,2220,2850,1644,2129,2068,3087,1818,2368,2090,2342
ENSG00000097021,4325,6011,3151,3705,4005,6096,1417,1769,947,1203
ENSG00000271746,0,0,0,0,0,0,0,0,0,0
ENSG00000069812,14,13,2,4,3,21,1,4,0,2
ENSG00000187017,565,403,156,151,97,166,69,95,10,22
ENSG00000265392,0,0,0,0,0,0,0,0,0,0
ENSG00000231868,7,0,0,1,0,7,1,2,0,1
ENSG00000215788,1035,1302,521,594,563,778,354,456,262,270
ENSG00000171680,2174,2776,1231,1566,1149,1905,999,1370,798,1181
ENSG00000162408,1453,1583,1302,1428,1110,1743,308,481,467,484
ENSG00000253022,0,3,0,1,1,1,0,0,0,0
ENSG00000229519,26,27,16,14,20,26,2,8,9,4
ENSG00000173662,6,14,4,5,3,3,5,8,9,15
ENSG00000204859,1065,1151,749,1024,831,1237,203,310,295,305
ENSG00000162413,2590,2681,1436,1925,1813,2993,352,513,453,610
ENSG00000116273,2807,3246,1849,2427,2090,3484,572,811,547,615
ENSG00000041988,747,955,568,665,603,873,127,191,212,210
ENSG00000007923,2935,3383,2117,2577,2396,3439,621,834,707,866
ENSG00000228750,2,0,1,1,0,3,0,0,0,0
ENSG00000237436,26,42,22,27,32,44,6,11,5,11
ENSG00000171735,1840,2184,1489,1869,1463,2443,478,687,611,842
ENSG00000227950,3,0,0,2,1,4,0,0,1,2
ENSG00000237365,0,0,0,0,0,1,0,0,0,0
ENSG00000207056,1,0,0,2,0,2,0,0,0,0
ENSG00000237402,0,3,1,1,1,2,0,0,0,1
ENSG00000237728,0,0,2,0,0,1,1,0,0,0
ENSG00000225126,0,0,0,0,0,0,0,0,0,1
ENSG00000270171,8,10,3,2,4,4,1,1,1,2
ENSG00000270035,2,2,2,2,5,2,5,0,0,1
ENSG00000269978,12,5,3,3,3,8,2,4,1,2
ENSG00000049245,3362,3736,3277,3922,3075,5627,807,1025,1844,2309
ENSG00000269925,14,17,14,13,13,24,6,9,9,13
ENSG00000049246,1240,1169,835,1025,855,1497,269,311,384,420
ENSG00000236266,27,23,9,21,11,19,4,2,8,4
ENSG00000049247,1,1,0,0,1,1,0,0,0,0
ENSG00000049249,3,0,1,0,0,3,0,1,1,2
ENSG00000270330,4,0,1,1,0,4,1,1,0,0
ENSG00000116288,7673,9491,7004,8099,7018,11231,2149,2982,2501,3265
ENSG00000200344,0,1,1,4,4,5,2,1,0,0
ENSG00000116285,2971,3801,1915,2549,1666,3190,679,928,789,1233
ENSG00000238290,8,18,8,6,5,8,2,3,0,3
ENSG00000232848,1,0,0,0,0,0,0,1,0,0
ENSG00000229305,1,0,1,0,0,2,0,0,0,0
ENSG00000227634,0,1,0,0,1,0,0,0,0,1
ENSG00000200975,0,0,0,0,0,0,0,0,0,0
ENSG00000233645,2,0,0,1,0,0,0,0,0,1
ENSG00000251977,0,0,0,0,0,0,0,1,0,0
ENSG00000162426,478,499,253,407,289,646,46,61,33,99
ENSG00000252254,0,1,0,0,2,4,0,0,0,0
ENSG00000142599,10763,13499,6943,8334,7126,10756,2422,3217,2476,3425
ENSG00000232912,10,6,0,2,2,4,0,3,3,1
ENSG00000221083,8,4,1,1,1,5,1,0,1,3
ENSG00000270282,0,0,1,0,0,1,1,0,0,0
ENSG00000234619,1,0,0,2,2,1,2,2,0,0
ENSG00000224315,2,3,4,3,1,2,1,0,2,0
ENSG00000222511,1,2,0,0,0,0,0,1,0,0
ENSG00000226545,5,1,1,0,0,3,1,1,1,3
ENSG00000228423,8,3,5,3,3,5,0,0,3,1
ENSG00000229716,4,2,0,1,0,1,1,1,0,0
ENSG00000074800,93378,109604,63544,75633,68465,112091,16945,22099,12382,16521
ENSG00000274258,3,1,6,1,1,1,0,1,0,1
ENSG00000236269,54,53,23,24,30,37,9,19,7,10
ENSG00000230679,8,6,6,12,5,4,1,2,2,0
ENSG00000201725,0,1,1,1,1,4,0,0,0,0
ENSG00000238249,9,0,1,7,0,4,1,4,0,4
ENSG00000232208,0,0,0,1,0,0,0,0,1,0
ENSG00000232663,0,0,0,0,0,0,0,0,0,0
ENSG00000131686,2,1,0,0,0,7,0,2,0,0
ENSG00000265141,1,0,0,0,0,0,0,0,0,0
ENSG00000197241,11,3,0,3,0,5,0,1,0,1
ENSG00000142583,10,2,0,5,3,10,2,2,5,10
ENSG00000252404,0,0,0,0,0,1,0,0,0,0
ENSG00000180758,330,447,243,254,226,327,61,53,60,102
ENSG00000228526,117,124,82,105,126,168,284,411,367,492
ENSG00000234546,10,4,5,5,4,3,14,26,34,56
ENSG00000281937,2,1,0,1,4,0,2,7,4,8
ENSG00000049239,3372,4171,1913,2206,2407,3806,767,1009,593,744
ENSG00000171621,211,223,115,172,152,313,96,112,57,86
ENSG00000235263,4,0,1,1,0,2,1,0,0,2
ENSG00000171612,806,975,669,848,881,1354,311,379,336,464
ENSG00000231181,13,17,9,11,11,21,0,8,4,3
ENSG00000188807,2773,3318,2296,2608,2706,3732,918,1387,1115,1254
ENSG00000171608,103,167,58,94,121,164,20,23,30,17
ENSG00000179840,1,0,1,0,0,0,0,0,0,0
ENSG00000233268,2,0,1,2,0,2,0,0,0,2
ENSG00000231789,42,62,53,47,35,75,2,1,1,3
ENSG00000171603,11464,13185,9830,10690,8697,13455,4773,6501,5825,8040
ENSG00000271264,2,1,0,0,1,0,0,0,0,0
ENSG00000280113,3,1,0,1,0,0,0,0,0,0
ENSG00000178585,1867,2156,1888,1948,1626,2632,1295,1689,1852,2704
ENSG00000223989,0,0,0,0,0,0,0,0,0,0
ENSG00000162441,1217,1317,1050,1243,901,1674,373,475,613,687
ENSG00000228150,31,15,17,19,21,30,9,7,7,4
ENSG00000173614,784,904,573,718,568,1042,152,206,227,292
ENSG00000202415,8,9,4,5,8,8,3,2,0,0
ENSG00000283611,8,1,7,7,5,6,0,2,2,1
ENSG00000265521,2,1,0,1,1,1,0,0,0,0
ENSG00000241326,0,0,0,0,0,0,0,0,0,0
ENSG00000162444,143,156,61,123,79,226,1,3,1,0
ENSG00000130939,2579,3366,2324,2481,2387,3628,685,1005,1160,1366
ENSG00000224340,2,3,0,0,0,5,0,1,0,1
ENSG00000233623,4,7,1,5,3,1,1,0,0,0
ENSG00000201746,4,7,3,1,3,3,0,1,1,0
ENSG00000054523,10172,11132,8578,9519,8790,13521,2849,3802,4593,4495
ENSG00000264881,0,0,0,0,0,2,0,0,0,0
ENSG00000199562,12,6,1,4,1,9,2,1,4,0
ENSG00000264501,0,0,0,0,0,0,0,0,0,0
ENSG00000142657,8023,9882,7667,8369,5935,9382,2881,3943,3238,4175
ENSG00000271989,11,10,9,8,10,14,2,4,0,0
ENSG00000251503,38,50,26,33,32,40,13,15,13,18
ENSG00000175279,305,308,209,269,219,415,79,121,51,67
ENSG00000241563,19,14,8,18,12,20,2,4,2,2
ENSG00000160049,3712,4382,2461,3311,2646,4660,814,1099,1114,1404
ENSG00000203469,0,0,0,0,0,0,0,0,0,0
ENSG00000142655,1146,1360,835,1063,937,1522,339,456,397,535
ENSG00000243267,1,2,2,2,2,4,0,0,0,0
ENSG00000130940,159,152,79,124,101,161,17,13,9,16
ENSG00000272078,17,13,10,16,4,18,3,2,1,1
ENSG00000225158,3,0,0,1,0,5,0,0,0,2
ENSG00000175262,12,5,5,7,4,13,3,2,2,3
ENSG00000215785,4,1,0,6,1,2,0,1,1,1
ENSG00000120948,4832,5665,3768,4728,4360,6628,2220,2896,2266,3019
ENSG00000277726,2,3,11,6,2,6,0,2,0,1
ENSG00000009724,174,152,112,187,118,214,16,29,45,49
ENSG00000271895,168,108,107,168,83,172,12,26,34,48
ENSG00000116649,4027,5471,4248,4487,4731,5871,1241,1827,1841,2248
ENSG00000171824,5778,6236,3910,4853,3946,6598,990,1285,1254,1409
ENSG00000226849,34,27,13,19,25,36,3,14,6,5
ENSG00000230337,14,18,5,18,12,18,4,6,2,11
ENSG00000198793,5373,6112,4308,4882,4687,7560,1141,1491,1569,1866
ENSG00000225602,1,2,3,3,4,4,0,2,0,0
ENSG00000253086,1,1,0,0,2,0,0,0,1,0
ENSG00000171819,3,2,3,2,2,1,0,0,4,1
ENSG00000207451,1,0,3,0,0,1,0,0,0,0
ENSG00000238173,0,1,0,0,1,0,0,0,1,0
ENSG00000120942,865,942,683,883,900,1338,208,263,244,423
ENSG00000238199,11,6,4,4,5,11,1,1,2,3
ENSG00000224338,4,0,0,1,0,0,0,0,0,0
ENSG00000204624,267,259,201,204,173,252,529,620,472,444
ENSG00000235643,0,0,0,0,0,0,0,0,0,0
ENSG00000116661,68,50,25,64,42,101,3,8,8,11
ENSG00000132879,1710,1931,1284,1483,1192,1777,297,398,401,511
ENSG00000116663,193,228,117,183,155,274,21,27,42,41
ENSG00000116670,2639,3331,1936,2328,2270,3508,772,1078,570,738
ENSG00000162490,2657,2555,1140,2023,1423,3246,888,1197,149,298
ENSG00000177674,885,1207,798,933,953,1478,242,356,219,325
ENSG00000215910,27,1,2,12,0,20,1,3,0,3
ENSG00000177553,2,0,1,3,0,2,0,0,0,1
ENSG00000177000,1643,1609,1021,1504,975,1757,384,472,594,614
ENSG00000011021,2882,2835,1360,1961,2015,3556,619,819,678,692
ENSG00000242349,40,46,18,48,35,47,5,7,7,4
ENSG00000276470,0,0,0,0,0,0,0,0,0,0
ENSG00000278852,0,0,0,0,0,0,0,0,0,0
ENSG00000175206,5,11,10,8,11,12,0,2,2,9
ENSG00000275915,0,0,0,0,0,0,0,0,0,0
ENSG00000120937,3,2,0,1,1,0,0,0,0,0
ENSG00000224904,0,0,1,0,1,1,0,0,0,0
ENSG00000199347,2,9,1,1,4,7,0,1,0,0
ENSG00000201801,3,0,0,2,0,2,0,0,0,0
ENSG00000116685,3884,4812,3174,3517,3023,4498,854,1092,859,1366
ENSG00000083444,9740,11110,7794,7844,7413,11596,2884,3580,2890,3224
ENSG00000116688,6554,7277,4604,6001,4590,8462,1410,1956,1847,2422
ENSG00000270914,3,2,0,0,0,3,0,0,0,1
ENSG00000116691,2071,2372,1314,1920,1691,2680,296,450,419,554
ENSG00000202461,22,17,7,19,15,20,2,4,10,1
ENSG00000276869,2,1,0,0,0,1,0,0,0,0
ENSG00000243539,1,2,0,0,0,2,0,2,0,0
ENSG00000120949,9,1,0,4,0,5,0,2,1,1
ENSG00000201135,5,0,0,2,1,0,0,0,0,0
ENSG00000227875,0,0,0,0,0,0,0,0,0,0
ENSG00000028137,839,1068,510,810,704,1231,254,326,88,218
ENSG00000263676,1,0,0,0,0,1,0,0,0,0
ENSG00000225196,0,0,0,0,0,0,0,0,0,0
ENSG00000252969,0,0,0,0,0,0,0,0,0,0
ENSG00000048707,1565,1689,1079,1121,1183,1917,501,700,736,657
ENSG00000239149,6,5,1,7,4,7,3,1,2,1
ENSG00000229484,0,0,0,1,1,2,0,1,0,1
ENSG00000162496,53,39,9,50,9,68,12,10,1,6
ENSG00000221340,2,0,0,1,0,0,0,0,0,0
ENSG00000276830,0,2,0,0,0,0,0,1,0,0
ENSG00000272482,2,0,0,0,0,1,0,0,0,0
